id,name,avarage,type
8cadf2e083d7a7303f30a628eca73bfc,Darrin Schamberger,1920,FixedSalaryEmployer
9a7cad58a94706440227280b0da9489b,Dr. Dante Maggio,2068,FixedSalaryEmployer
5ae2192af5ca6a6c35f224c8a5b1e7ee,Ms. Jennings Jaskolski,2295,FixedSalaryEmployer
cb69310e8e0e67f4916fbad0dcecedc8,Donavon Howe,2182,FixedSalaryEmployer
f65da5907ae9801193250d2652ead552,Caleigh Cole,2327,FixedSalaryEmployer
4c12c42602c98241d80b6d34becca190,Mr. Toby Mueller,2172,FixedSalaryEmployer
cb966094024e37d780d1bcf6f8d57135,Damon Vandervort,1522,FixedSalaryEmployer
2d1193bdc051dbb66a6ad4cd7ce77e1d,Hunter Sauer,2466,FixedSalaryEmployer
b2f362b25b5c852a94ad1d37ccc58d06,Marcos Mante,2026,FixedSalaryEmployer
1402246e83538323d28947b4df4e486a,Berenice Parisian,2053,FixedSalaryEmployer
a1487c575c2cc0b7fe447309c9feaf7c,Lafayette Bashirian,2329,HourlyEmployer
018fd0da7b7a08fab667973f19c30e78,Darien Cremin,2329,HourlyEmployer
db0522cc28be6faebd520247afa2c498,Natalia Hoeger,1664,HourlyEmployer
fd7a59e1303653247bac484124b52c5c,Domenick Jakubowski,2329,HourlyEmployer
7d7567f1af92f6cc09a9ae46d8f75aa2,Dr. Roscoe Romaguera,2662,HourlyEmployer
6d57b32c3987824ea8333f73239e06ff,Mrs. Marjolaine Miller,16640,HourlyEmployer
2f44e3bef1ea48c52406b711d7ed61b4,Ettie Jenkins,16640,HourlyEmployer
3557b287a83907a2f36e625746eda93e,Sandra Tillman,16640,HourlyEmployer
7dc6538ebe5dc08ec2565e38b2a082d4,Mr. Hilton Purdy,16640,HourlyEmployer
69112a26a93c32ac94f23677f01d57b9,Anastasia Lehner,16640,HourlyEmployer
